State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Arhar/Tur,51728,4293
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Bajra,2614,3307
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Castor seed,30203,1843
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Cotton(lint),19299,12069
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Cowpea(Lobia),846,150
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Dry chillies,4101,10425
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Groundnut,733960,174682
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Horse-gram,1212,645
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Jowar,7190,7535
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Maize,25447,63465
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Mesta,15,117
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Moong(Green Gram),785,504
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Onion,2757,39563
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Other Kharif pulses,3,1
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,other oilseeds,50,1007
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Ragi,1574,2679
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Rice,37720,94531
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Small millets,1092,714
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Soyabean,1656,2676
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Urad,32,17
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Arhar/Tur,17,1
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Bajra,116,147
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Cowpea(Lobia),15,12
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Dry chillies,64,83
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Gram,68483,38008
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Groundnut,19876,32696
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Horse-gram,986,577
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Jowar,7907,3882
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Maize,6208,48168
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Moong(Green Gram),132,79
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Onion,208,4259
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Ragi,1695,3421
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Rice,10948,25542
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Safflower,84,63
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Small millets,10,7
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Urad,446,313
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Wheat,75,100
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Arecanut,541,267
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Banana,8000,505176
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Coriander,2399,1327
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Potato,18,181
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sugarcane,410,39186
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sunflower,13277,12094
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sweet potato,2,26
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Tobacco,140,226
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Turmeric,321,2645
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Arhar/Tur,8019,1203
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Bajra,2353,4958
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Castor seed,175,11
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Cotton(lint),400,65
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Cowpea(Lobia),1078,347
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Groundnut,132056,82799
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Horse-gram,3394,1806
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Jowar,65,80
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Maize,930,3084
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Moong(Green Gram),506,325
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Onion,180,2594
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Other Kharif pulses,2102,671
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Ragi,6608,7203
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Rice,17342,55719
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Sesamum,88,20
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Small millets,379,128
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Urad,388,207
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Arhar/Tur,12,2
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Bajra,2,4
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Cowpea(Lobia),9,7
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Dry chillies,1897,2474
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Gram,2,1
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Groundnut,14103,45637
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Horse-gram,1621,1149
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Linseed,11,2
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Maize,877,6805
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Moong(Green Gram),270,161
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Onion,196,4013
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Other  Rabi pulses,17,5
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Ragi,693,1398
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Rice,33764,113211
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Sesamum,284,146
Andhra Pradesh,CHITTOOR,2011,Rabi       ,Urad,2528,1772
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Banana,886,55948
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Cashewnut,76,19
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Coriander,74,43
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Potato,1151,15206
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Sugarcane,28405,2577106
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Sunflower,1342,927
