state,date,rain_in_mm
ANDAMAN & NICOBAR ISLANDS,01-01-1997,9.5
ANDAMAN & NICOBAR ISLANDS,01-02-1997,0
ANDAMAN & NICOBAR ISLANDS,01-03-1997,0.2
ANDAMAN & NICOBAR ISLANDS,01-04-1997,15.6
ANDAMAN & NICOBAR ISLANDS,01-05-1997,281.1
ANDAMAN & NICOBAR ISLANDS,01-06-1997,199.5
ANDAMAN & NICOBAR ISLANDS,01-07-1997,918.5
ANDAMAN & NICOBAR ISLANDS,01-08-1997,430.6
ANDAMAN & NICOBAR ISLANDS,01-09-1997,440.2
ANDAMAN & NICOBAR ISLANDS,01-10-1997,128.7
ANDAMAN & NICOBAR ISLANDS,01-11-1997,292.8
ANDAMAN & NICOBAR ISLANDS,01-12-1997,38.4
ANDAMAN & NICOBAR ISLANDS,01-01-1998,26.2
ANDAMAN & NICOBAR ISLANDS,01-02-1998,68.5
ANDAMAN & NICOBAR ISLANDS,01-03-1998,158.5
ANDAMAN & NICOBAR ISLANDS,01-04-1998,94.7
ANDAMAN & NICOBAR ISLANDS,01-05-1998,212.6
ANDAMAN & NICOBAR ISLANDS,01-06-1998,548
ANDAMAN & NICOBAR ISLANDS,01-07-1998,395.2
ANDAMAN & NICOBAR ISLANDS,01-08-1998,237
ANDAMAN & NICOBAR ISLANDS,01-09-1998,403.5
ANDAMAN & NICOBAR ISLANDS,01-10-1998,58.5
ANDAMAN & NICOBAR ISLANDS,01-11-1998,45.9
ANDAMAN & NICOBAR ISLANDS,01-12-1998,26.3
ANDAMAN & NICOBAR ISLANDS,01-01-1999,18.2
ANDAMAN & NICOBAR ISLANDS,01-02-1999,40.7
ANDAMAN & NICOBAR ISLANDS,01-03-1999,91.8
ANDAMAN & NICOBAR ISLANDS,01-04-1999,131.9
ANDAMAN & NICOBAR ISLANDS,01-05-1999,241.8
ANDAMAN & NICOBAR ISLANDS,01-06-1999,569.9
ANDAMAN & NICOBAR ISLANDS,01-07-1999,511.2
ANDAMAN & NICOBAR ISLANDS,01-08-1999,315.5
ANDAMAN & NICOBAR ISLANDS,01-09-1999,366.8
ANDAMAN & NICOBAR ISLANDS,01-10-1999,36.4
ANDAMAN & NICOBAR ISLANDS,01-11-1999,12.6
ANDAMAN & NICOBAR ISLANDS,01-12-1999,35.4
ANDAMAN & NICOBAR ISLANDS,01-01-2000,11.3
ANDAMAN & NICOBAR ISLANDS,01-02-2000,23.7
ANDAMAN & NICOBAR ISLANDS,01-03-2000,134.4
ANDAMAN & NICOBAR ISLANDS,01-04-2000,112
